image,split,disc_area,cup_area,cdr,mean_r,mean_g,mean_b,lbp_mean,label
V0001.jpg,val,3709448,37525,0.010116060394967092,55.70121173469388,20.607043207908163,1.6435546875,5.96695631377551,1
V0002.jpg,val,3708751,29953,0.008076303855392807,89.43207908163265,43.0807955994898,12.422154017857142,5.684669961734694,1
V0003.jpg,val,3713381,33628,0.009055898115488539,67.67299107142857,40.98511240433673,12.175043845663266,6.009725765306122,1
V0004.jpg,val,3684569,33935,0.00921003243527012,118.72951211734694,55.6584622130102,12.119260204081632,5.742865114795919,1
V0005.jpg,val,3718510,27677,0.007443034979062194,58.77030851403061,29.351283482142858,4.741031568877551,5.912189094387755,1
V0006.jpg,val,3728445,20958,0.005621110141089483,86.580078125,43.91248804209184,12.041374362244898,5.835220025510204,1
V0007.jpg,val,3695483,39278,0.010628651248020725,84.06006855867346,50.5866549744898,26.486467633928573,5.791872608418367,1
V0008.jpg,val,3713188,30282,0.008155256345757835,72.93253746811224,38.05845424107143,14.17904974489796,5.65218431122449,1
V0009.jpg,val,3690904,46938,0.012717209659201997,98.85172193877551,46.913066007653065,10.333127391581632,5.702726403061225,1
V0010.jpg,val,3694668,48814,0.013212012554304417,145.3556281887755,68.56038743622449,8.432378029336734,5.686782525510204,1
V0011.jpg,val,3722138,33968,0.009125937834650643,91.9805683992347,31.761918048469386,5.041872608418367,5.543247767857143,1
V0012.jpg,val,3715155,18199,0.004898584312093332,61.4919284119898,20.546157525510203,3.6672313456632653,5.823999521683674,1
V0013.jpg,val,3710012,40594,0.010941743584653921,87.34887197066327,34.67342952806123,2.5816924426020407,5.900490274234694,1
V0014.jpg,val,3685001,45066,0.012229576057099515,105.56576849489795,43.06895727040816,5.472596460459184,5.7475884885204085,1
V0015.jpg,val,3717871,40147,0.010798384344155353,112.63612085459184,41.796994579081634,7.339923469387755,5.469945790816326,1
V0016.jpg,val,3717219,12567,0.0033807531921031878,152.8877551020408,88.74722975127551,48.58743223852041,5.593849649234694,1
V0017.jpg,val,3705263,44997,0.012144077222045468,122.4540019132653,49.000896843112244,4.210359534438775,5.618243781887755,1
V0018.jpg,val,3713865,31755,0.008550391573197046,100.80040258290816,46.67016103316327,6.132194674744898,5.798887914540816,1
V0019.jpg,val,3711559,36457,0.009822557044085835,68.1395487882653,27.764469068877553,2.026347257653061,5.921496332908164,1
V0020.jpg,val,3705685,26336,0.007106918154131529,104.02869897959184,50.46083785076531,14.75731425382653,5.729890784438775,1
V0021.jpg,val,3709105,35238,0.00950040508424283,84.15744579081633,38.31562898596939,9.09161750637755,5.678750797193878,1
V0022.jpg,val,3693015,46528,0.012598919852745631,122.09201610331633,57.845782844387756,13.298050860969388,5.671934789540816,1
V0023.jpg,val,3696135,38976,0.010545069376521544,97.77226163903062,58.93949298469388,30.798250159438776,5.761599170918367,1
V0024.jpg,val,3692833,50203,0.01359471170236683,147.21291055484693,70.10226004464286,7.140445631377551,5.708306760204081,1
V0025.jpg,val,3726929,24863,0.006671176188221812,69.62334582270408,29.243602519132654,3.17952806122449,5.835100446428571,1
V0026.jpg,val,3694280,38339,0.010377935619387168,117.95707110969387,57.68704161352041,2.458366549744898,5.790756536989796,1
V0027.jpg,val,3687812,44919,0.012180393143681897,125.26735889668367,58.26542570153061,2.6017817283163267,5.809630102040816,1
V0028.jpg,val,3693453,36608,0.0099115922146539,121.88267299107143,54.32427853954081,2.3347018494897958,5.826789700255102,1
